aalib 1.4rc5-12
shadow 4.4-3
skype 4.3.0.37-8
smartgit 8.0.3-1
solarized-dark-themes 20160109-1
stack 1.3.2-14
steam 1.0.0.54-1
strace 4.15-1
strongswan 5.5.1-3
sublime-text 2.0.2-4
sudo 1.8.19.p2-1
supertux 0.5.1-1
swig 3.0.11-1
synapse 0.2.99.2-2
sysfsutils 2.1.0-9
systemd-sysvcompat 232-7
tar 1.29-2
terminator 1.90-1
texinfo 6.3-1
thunar 1.6.10-3
thunar-archive-plugin 0.3.1-6
thunar-media-tags-plugin 0.2.1-2
thunar-volman 0.8.1-2
thunderbird 45.6.0-1
tightvnc 1.3.10-10
tint2 0.12.12-1
tk 8.6.6-1
tlp 0.9-2
tlp-rdw 0.9-2
tmux 2.3-1
ttf-liberation 2.00.1-7
ttf-ms-fonts 2.0-10
ttf-ubuntu-font-family 0.83-2
tumbler 0.1.31-2
udisks 1.0.5-3
ufw 0.35-2
unrar 1:5.4.5-1
unzip 6.0-12
usbutils 008-1
util-linux 2.29-2
vagrant 1.9.1-1
valgrind 3.12.0-1
vi 1:070224-2
vifm 0.8.2-2
vim 8.0.0170-1
virtualbox 5.1.12-2
visual-studio-code 1.4.0-1
vlc 2.2.4-7
wget 1.18-3
which 2.21-2
wine 2.0rc6-1
winetricks 20170101-1
wmctrl 1.07-4
xclip 0.13-1
xdotool 3.20160805.1-1
xf86-input-synaptics 1.9.0-1
xf86-video-intel 1:2.99.917+747+g028c946d-1
xf86-video-vesa 2.3.4-3
xfburn 0.5.4-3
xfce4-appfinder 4.12.0-4
xfce4-artwork 0.1.1a_git20110420-4
xfce4-battery-plugin 1.1.0-1
xfce4-clipman-plugin 1.4.1-1
xfce4-cpufreq-plugin 1.1.3-1
xfce4-cpugraph-plugin 1.0.5-4
xfce4-datetime-plugin 0.7.0-1
xfce4-dict 0.7.2-1
xfce4-diskperf-plugin 2.6.0-1
xfce4-eyes-plugin 4.4.5-1
xfce4-fsguard-plugin 1.1.0-1
xfce4-genmon-plugin 3.4.0-3
xfce4-mailwatch-plugin 1.2.0-7
xfce4-mount-plugin 0.6.7-4
xfce4-mpc-plugin 0.5.0-1
xfce4-netload-plugin 1.3.0-1
xfce4-notes-plugin 1.8.1-2
xfce4-notifyd 0.3.4-1
xfce4-panel 4.12.1-1
xfce4-power-manager 1.6.0.41.g9daecb5-1
xfce4-pulseaudio-plugin 0.2.4-4
xfce4-screenshooter 1.8.2-3
xfce4-sensors-plugin 1.2.6-3
xfce4-session 4.12.1-4
xfce4-settings 4.12.1-1
xfce4-smartbookmark-plugin 0.5.0-1
xfce4-systemload-plugin 1.2.0-1
xfce4-taskmanager 1.1.0-1
xfce4-terminal 0.8.3-1
xfce4-time-out-plugin 1.0.2-2
xfce4-timer-plugin 1.6.0-4
xfce4-verve-plugin 1.1.0-1
xfce4-wavelan-plugin 0.6.0-1
xfce4-weather-plugin 0.8.8-1
xfce4-whiskermenu-plugin 1.6.2-1
xfce4-xkb-plugin 0.7.1-2
xfdesktop 4.12.3-3
xfsprogs 4.8.0-1
xfwm4 4.12.3-2
xfwm4-themes 4.10.0-2
xorg-iceauth 1.0.7-1
xorg-luit 1.1.1-2
xorg-server 1.19.1-1
xorg-server-utils 7.6-4
xorg-sessreg 1.1.0-1
xorg-smproxy 1.0.6-1
xorg-utils 7.6-9
xorg-x11perf 1.6.0-1
xorg-xauth 1.0.9-1
xorg-xbacklight 1.2.1-1
xorg-xcmsdb 1.0.5-1
xorg-xcursorgen 1.0.6-1
xorg-xdpyinfo 1.3.2-1
xorg-xdriinfo 1.0.5-1
xorg-xev 1.2.2-1
xorg-xgamma 1.0.6-1
xorg-xhost 1.0.7-1
xorg-xinit 1.3.4-4
xorg-xinput 1.6.2-1
xorg-xkbevd 1.1.4-1
xorg-xkbutils 1.0.4-2
xorg-xkill 1.0.4-1
xorg-xlsatoms 1.1.2-1
xorg-xlsclients 1.1.3-1
xorg-xmodmap 1.0.9-1
xorg-xpr 1.0.4-2
xorg-xprop 1.2.2-1
xorg-xrandr 1.5.0-1
xorg-xrdb 1.1.0-2
xorg-xrefresh 1.0.5-1
xorg-xset 1.2.3-1
xorg-xsetroot 1.1.1-2
xorg-xvinfo 1.1.3-1
xorg-xwd 1.0.6-1
xorg-xwininfo 1.1.3-1
xorg-xwud 1.0.4-2
xterm 327-1
yaourt 1.8.1-1
yasm 1.3.0-1
zip 3.0-7
zork1 1-11
zsh 5.3.1-1
